,work_mode,employment_mode,role,prog_skills_in_role,code_for_job,IT_exp,prof_prog_exp,first_code,assigned_seniority,self_assessed_seniority,formal_edu,majors,formal_edu_importance,gender,age,monthly_salary,pro_languages,web_frameworks,other_tools,databases,platforms,fav_language,least_fav_language,fav_framework,least_fav_framework,tools,use_AI_tools,AI_replace_dev,layoffs_23_24,working_now,unemployed_duration,same_role,current_vs_prev_salary
10,remote,foreign_employer,"full_stack_dev, qa_testing",,Yes,3_5 years,3_5 years,<10 years,Mid-senior,Mid-senior,high_school,electronic_engineering,somewhat_important,male,25_29 years,18M_21M,"JavaScript, TypeScript, Python, SQL, Bash/Shell/PowerShell","React.js, Gatsby",,"MySQL, PostgreSQL, SQLite, Elasticsearch","Microsoft Windows, Docker, AWS",Python,JavaScript,React.js,Gastby,"Slack, GitLab, Confluence, Jira, Google Suite (Docs, Meet, etc)",ChatGPT,no,no,,,,
11,onsite,Empleador local (Paraguay),"backend_dev, frontend_dev, full_stack_dev, dev_ops","sys_admin, devops_dataops",Yes,10_12 years,6_9 years,10_11 years,Senior,Mid-senior,high_school,"systems_analysis, computer_engineering",critical,male,30_34 years,7M_9M,"JavaScript, TypeScript, Python, HTML/CSS","React.js, Angular, Angular.js, JQuery, Vue.js, Django, Flask","Node.js, Pandas","MySQL, MariaDB, PostgreSQL, SQLite","Microsoft Windows, MacOS, Docker",Python,Java,Django,Laravel,"GitHub, GitLab",ChatGPT,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
12,remote,Empleador local (Paraguay),backend_dev,,Yes,10_12 years,6_9 years,12_13 years,No aplica a mi lugar de trabajo,Mid-senior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,somewhat_important,male,30_34 years,7M_9M,"JavaScript, Python",,,PostgreSQL,Microsoft Windows,Python,COBOL,Django,,"Google Suite (Docs, Meet, etc), GitHub","ChatGPT, Github Copilot",no,no,,,,
13,onsite,Empleador local (Paraguay),qa_tester,,Yes,6_9 years,6_9 years,16_17 years,Junior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,somewhat_important,female,35_39 years,3.5M_5M,SQL,,,PostgreSQL,GNU/Linux,SQL,Java,React.js,Angular.js,GitLab,ChatGPT,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
14,remote,foreign_employer,full_stack_dev,,Yes,10_12 years,10_12 years,18_19 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,quite_important,male,30_34 years,50M+,"JavaScript, TypeScript, Python","React.js, Django",Node.js,PostgreSQL,"GNU/Linux, MacOS, AWS",Python,,Django,,"Slack, Notion, Jira, Google Suite (Docs, Meet, etc), GitHub",ChatGPT,"Puede ser, pero dentro de muchos años (más de 10)",yes,no,,,
15,onsite,Empleador local (Paraguay),backend_dev,sys_admin,Yes,10_12 years,6_9 years,10_11 years,Mid-senior,Junior,high_school,"programming, systems_analysis, computer_engineering",very_important,male,30_34 years,15M_18M,"JavaScript, Python, Java, SQL","Angular, Angular.js, JQuery, Spring, Django",,PostgreSQL,"GNU/Linux, Microsoft Windows",Python,PHP,Django,React.js,"Slack, Trello, Microsoft Team, GitHub","Github Copilot, ChatGPT","Puede ser, pero dentro de muchos años (más de 10)",no,,,,
16,remote,Empleador local (Paraguay),"backend_dev, proj_lead","sys_admin, devops_dataops",Yes,26+ years,26+ years,30+ years,Senior,Senior,high_school,none,somewhat_important,male,45_49 years,24M_27M,"JavaScript, C, C++, SQL, Bash/Shell/PowerShell, Dart, Pascal","Express, Vue.js","Node.js, Flutter, Cordova","PostgreSQL, SQLite, MongoDB, Redis, Firebase, Couchbase","GNU/Linux, MacOS, Docker, AWS, Android, Kubernetes",Otro,Java,Vue.js,Laravel,"Google Suite (Docs, Meet, etc), Slack, Confluence, Jira, Microsoft Team, Facebook Workplace, Discord, Trello, Notion, GitHub","ChatGPT, Github Copilot",no,no,,,,
17,onsite,Empleador local (Paraguay),full_stack_dev,devops_dataops,Yes,10_12 years,10_12 years,24_25 years,Principal,Principal,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,very_important,male,40_44 years,7M_9M,"JavaScript, PHP, HTML/CSS, SQL","JQuery, Laravel",Unity 3D,MySQL,"MacOS, WordPress",PHP,Assembly,Laravel,,,ChatGPT,no,no,,,,
18,onsite,Empleador local (Paraguay),"backend_dev, frontend_dev, full_stack_dev, desktop_apps, db_admin, data_analyst, data_eng, data_sci, ai_specialist",sys_admin,Yes,1_2 years,1_2 years,10_11 years,Mid-senior,Senior,high_school,"computer_engineering, other",not_important,male,25_29 years,3.5M_5M,"JavaScript, Python, HTML/CSS, SQL, Bash/Shell/PowerShell",React.js,"Node.js, Pandas, TensorFlow, React Native, Torch/PyTorch",MongoDB,"GNU/Linux, Microsoft Windows",Rust,JavaScript,Flask,JQuery,"Microsoft Team, Notion","Github Copilot, ChatGPT","Puede ser, pero dentro de muchos años (más de 10)",no,,,,
19,Hibrído,Empleador local (Paraguay),digital_analyst,,No,10_12 years,6_9 years,18_19 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,quite_important,female,30_34 years,9M_12M,"JavaScript, PHP, SQL",Laravel,,"MySQL, PostgreSQL","Docker, AWS",Java,JavaScript,Spring,JQuery,"Trello, GitLab, Confluence, Google Suite (Docs, Meet, etc), Slack, Jira","Google Bard, ChatGPT, Notion AI","Puede ser, pero dentro de muchos años (más de 10)",yes,yes,<3_months,yes,higher
20,remote,foreign_employer,full_stack_dev,,Yes,3_5 years,3_5 years,26_27 years,Senior,Senior,high_school,"systems_analysis, computer_engineering, other ingenerías",not_important,male,30_34 years,9M_12M,"JavaScript, TypeScript, Python, HTML/CSS, Dart","React.js, Express, Vue.js, Flask","Node.js, Flutter","PostgreSQL, SQLite, MongoDB, Firebase","GNU/Linux, Microsoft Windows, MacOS, AWS, Heroku",TypeScript,Java,Vue.js,Angular,"GitHub, Notion, Trello, Google Suite (Docs, Meet, etc)","ChatGPT, Github Copilot","Puede ser, pero dentro de muchos años (más de 10)",no,,,,
21,remote,Empleador local (Paraguay),backend_dev,designer,Yes,1_2 years,<1 year,18_19 years,Junior,Junior,"Título de Grado (licenciatura, ingeniería, etc.)",programming,critical,male,35_39 years,min_wage,Python,"React.js, Django, Flask",Pandas,"MySQL, MariaDB, PostgreSQL, SQLite","GNU/Linux, Docker",Python,HTML/CSS,Django,Laravel,"Jira, Trello, GitHub, Notion, Google Suite (Docs, Meet, etc), Discord",ChatGPT,no,no,,,,
22,Hibrído,Empleador local (Paraguay),backend_dev,,Yes,6_9 years,6_9 years,16_17 years,Mid-senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)","programming, systems_analysis",somewhat_important,male,30_34 years,7M_9M,"Java, HTML/CSS",Spring,,"Microsoft SQL Server, Oracle",Microsoft Windows,Java,Genexus,Spring,JQuery,"GitHub, Jira, Slack, Microsoft Team",ChatGPT,no,no,,,,
23,remote,Empleador local (Paraguay),full_stack_dev,,Yes,18_25 years,18_25 years,24_25 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,quite_important,male,40_44 years,9M_12M,"PHP, Oracle Forms",Laravel,,"MySQL, Oracle","GNU/Linux, Microsoft Windows",Oracle form,Java,Laravel,CodeIgniter,"Google Suite (Docs, Meet, etc), GitHub, Trello, Slack",ChatGPT,no,yes,yes,<3_months,yes,lower
24,onsite,Empleador local (Paraguay),full_stack_dev,sys_admin,Yes,10_12 years,<1 year,10_11 years,Trainee,Trainee,"Título de Grado (licenciatura, ingeniería, etc.)","programming, systems_analysis",very_important,male,30_34 years,2.55M_3.5M,"Python, HTML/CSS, XML",,,PostgreSQL,"GNU/Linux, Docker",TypeScript,COBOL,React.js,JQuery,GitHub,"ChatGPT, Bing AI",no,no,,,,
25,remote,freelance,full_stack_dev,"devops_dataops, designer",No,13_17 years,<1 year,<10 years,No aplica a mi lugar de trabajo,Junior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,quite_important,male,30_34 years,min_wage,"JavaScript, TypeScript, HTML/CSS",React.js,Node.js,"MySQL, MongoDB",Microsoft Windows,TypeScript,Java,React.js,Laravel,"Discord, GitHub","ChatGPT, Bing AI",no,no,,,,
26,onsite,Empleador local (Paraguay),"backend_dev, frontend_dev, full_stack_dev, mobile_dev",,Yes,10_12 years,6_9 years,10_11 years,Principal,Principal,"Título de Grado (licenciatura, ingeniería, etc.)","programming, systems_analysis",somewhat_important,male,30_34 years,3.5M_5M,"JavaScript, TypeScript, Java, HTML/CSS, SQL","Angular, Angular.js",Flutter,PostgreSQL,"GNU/Linux, Kubernetes",Java,PHP,Angular,,GitLab,ChatGPT,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
27,remote,foreign_employer,full_stack_dev,sys_admin,Yes,3_5 years,3_5 years,<10 years,Mid-senior,Mid-senior,high_school,"systems_analysis, computer_engineering",quite_important,male,25_29 years,18M_21M,"JavaScript, TypeScript, Python, HTML/CSS, SQL, Bash/Shell/PowerShell","React.js, Django",Node.js,"PostgreSQL, MongoDB, Redis","GNU/Linux, Microsoft Windows, MacOS, Docker, AWS, Google Cloud Platform",TypeScript,Java,Express,Django,"Notion, GitHub, Slack, Google Suite (Docs, Meet, etc), Jira","ChatGPT, Github Copilot, Notion AI, Bing AI",no,no,,,,
28,onsite,Empleador local (Paraguay),sys_coord,,No,3_5 years,<1 year,<10 years,Mid-senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)","programming, systems_analysis",somewhat_important,male,25_29 years,7M_9M,"PHP, HTML/CSS, SQL, Bash/Shell/PowerShell, VBA","JQuery, Laravel",Node.js,"MySQL, PostgreSQL, Microsoft SQL Server, Oracle","GNU/Linux, Microsoft Windows, MacOS, Android, WordPress",PHP,Fox Pro,Laravel,CodeIgniter,"Microsoft Team, Jira, Google Suite (Docs, Meet, etc)","Google Bard, ChatGPT",no,no,,,,
29,onsite,Empleador local (Paraguay),full_stack_dev,,Yes,3_5 years,1_2 years,12_13 years,Mid-senior,Senior,high_school,systems_analysis,quite_important,male,25_29 years,9M_12M,"TypeScript, Java, HTML/CSS, SQL","Angular, Spring",,"Redis, Oracle",Microsoft Windows,Java,PHP,Spring,Vue.js,"GitLab, Slack","ChatGPT, Google Bard",no,no,,,,
30,onsite,Empleador local (Paraguay),it,"sys_admin, devops_dataops, scientific_researcher",Yes,1_2 years,1_2 years,20_21 years,No aplica a mi lugar de trabajo,Desconozco,"Título de Grado (licenciatura, ingeniería, etc.)",other ingenerías,somewhat_important,male,25_29 years,3.5M_5M,"Python, SQL, Bash/Shell/PowerShell",,Pandas,PostgreSQL,Microsoft Windows,Python,,,,"GitHub, Notion",ChatGPT,no,no,,,,
31,onsite,Empleador local (Paraguay),"full_stack_dev, db_admin",,Yes,6_9 years,6_9 years,16_17 years,No aplica a mi lugar de trabajo,Principal,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,quite_important,female,25_29 years,3.5M_5M,"Python, SQL, Oracle Forms",Django,,"SQLite, Oracle","GNU/Linux, Microsoft Windows",Python,PHP,Vue.js,ASP.NET Core,,Bing AI,no,no,,,,
32,remote,foreign_employer,"full_stack_dev, mobile_dev",devops_dataops,Yes,13_17 years,10_12 years,24_25 years,Senior,Mid-senior,master,computer_engineering,very_important,male,35_39 years,24M_27M,"JavaScript, TypeScript, PHP, Python, Kotlin, HTML/CSS, SQL, Bash/Shell/PowerShell, Swift, Dart","Angular, JQuery, Vue.js, Django, Laravel, Ruby on Rails, Gatsby","Node.js, Pandas, TensorFlow, Flutter, Keras","MySQL, MariaDB, PostgreSQL, SQLite, MongoDB, Redis, Firebase, Elasticsearch","GNU/Linux, MacOS, Docker, AWS, Azure, Android, Google Cloud Platform, iOS",TypeScript,C++,Vue.js,React.js,"Jira, GitLab, Confluence, Google Suite (Docs, Meet, etc), Microsoft Team, GitHub","ChatGPT, Github Copilot","Puede ser, pero dentro de muchos años (más de 10)",no,,,,
33,onsite,Empleador local (Paraguay),full_stack_dev,sys_admin,Yes,6_9 years,6_9 years,16_17 years,Senior,Senior,high_school,"programming, systems_analysis",very_important,male,30_34 years,12M_15M,"Java, Oracle Forms",,,Oracle,GNU/Linux,Java,,Spring,,,,no,no,,,,
34,Hibrído,Empleador local (Paraguay),backend_dev,,Yes,<1 year,<1 year,<10 years,Junior,Junior,high_school,none,not_important,male,25_29 years,2.55M_3.5M,"Java, HTML/CSS, SQL, Bash/Shell/PowerShell, Oracle Forms",Spring,,"PostgreSQL, Oracle, Firebase, Elasticsearch","GNU/Linux, Microsoft Windows, Docker, Kubernetes",Java,PHP,Spring,React.js,"GitHub, Microsoft Team, Confluence, Jira, Slack, Google Suite (Docs, Meet, etc), GitLab","Google Bard, ChatGPT",no,no,,,,
35,Hibrído,foreign_employer,"frontend_dev, game_dev",sys_admin,Yes,6_9 years,6_9 years,18_19 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,very_important,male,25_29 years,7M_9M,"JavaScript, TypeScript, HTML/CSS, Bash/Shell/PowerShell",React.js,"Node.js, React Native","MySQL, PostgreSQL, MongoDB",MacOS,TypeScript,PHP,React.js,Angular.js,"Google Suite (Docs, Meet, etc), Notion, Jira, GitHub","ChatGPT, Google Bard, Github Copilot",no,no,,,,
36,remote,foreign_employer,"backend_dev, full_stack_dev",,Yes,6_9 years,6_9 years,<10 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,very_important,male,35_39 years,24M_27M,"JavaScript, PHP, HTML/CSS, SQL, Bash/Shell/PowerShell","React.js, JQuery, Express, Laravel, CakePHP",Node.js,"MySQL, MariaDB, PostgreSQL, MongoDB","GNU/Linux, Microsoft Windows, MacOS, Docker, AWS",PHP,Genexus,Laravel,Angular.js,"Slack, GitHub, GitLab, Trello, Microsoft Team",ChatGPT,no,yes,yes,3_5_months,yes,almost_equal
37,onsite,Empleador local (Paraguay),backend_dev,sys_admin,Yes,18_25 years,13_17 years,16_17 years,No aplica a mi lugar de trabajo,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,critical,male,40_44 years,5M_7M,"JavaScript, PHP, HTML/CSS, SQL, Bash/Shell/PowerShell","Laravel, CodeIgniter",,"MySQL, MariaDB","GNU/Linux, Microsoft Windows, WordPress",PHP,,Laravel,,,ChatGPT,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
38,remote,foreign_employer,backend_dev,devops_dataops,Yes,13_17 years,13_17 years,14_15 years,Senior,Senior,high_school,"programming, systems_analysis, computer_engineering, other ingenerías",somewhat_important,male,35_39 years,50M+,"JavaScript, TypeScript, PHP, Java, Kotlin, HTML/CSS, SQL, Bash/Shell/PowerShell","Angular, Spring",Node.js,"MySQL, MariaDB, PostgreSQL, Microsoft SQL Server, Redis, Oracle, Firebase, Elasticsearch","GNU/Linux, Microsoft Windows, MacOS, Docker, Android, Google Cloud Platform",Java,JavaScript,Spring,,"Slack, GitLab, Google Suite (Docs, Meet, etc), Microsoft Team, GitHub, Jira","ChatGPT, Github Copilot",no,no,,,,
39,remote,foreign_employer,full_stack_dev,,Yes,13_17 years,10_12 years,14_15 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,quite_important,male,35_39 years,24M_27M,"JavaScript, TypeScript, SQL","React.js, Express","Node.js, React Native",PostgreSQL,"GNU/Linux, MacOS",TypeScript,JavaScript,React.js,Ruby on Rails,"GitLab, Slack, Jira, Google Suite (Docs, Meet, etc), GitHub","ChatGPT, Github Copilot",no,no,,,,
40,remote,foreign_employer,backend_dev,devops_dataops,Yes,18_25 years,18_25 years,24_25 years,Principal,Principal,high_school,"programming, other",somewhat_important,male,40_44 years,50M+,"JavaScript, TypeScript, Python, Go, HTML/CSS, SQL, Bash/Shell/PowerShell, v","React.js, Django","Node.js, React Native","MySQL, MariaDB, PostgreSQL, SQLite, MongoDB, Redis, Firebase, Elasticsearch","GNU/Linux, Microsoft Windows, MacOS, Docker, AWS, Android, Microsoft Azure, Google Cloud Platform, iOS, Kubernetes",Go,Java,Ruby on Rails,CodeIgniter,"Jira, Slack, Confluence, Microsoft Team, GitHub, Google Suite (Docs, Meet, etc)","ChatGPT, Github Copilot",no,yes,yes,<3_months,yes,higher
41,onsite,Empleador local (Paraguay),proj_lead,sys_admin,Yes,6_9 years,3_5 years,<10 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,very_important,male,30_34 years,9M_12M,"SQL, VBA",,.NET,"MySQL, PostgreSQL, Microsoft SQL Server, Oracle","GNU/Linux, Microsoft Windows",SQL,Java,ASP.NET,CodeIgniter,"Microsoft Team, Jira","Github Copilot, ChatGPT",no,no,,,,
42,onsite,Empleador local (Paraguay),"backend_dev, frontend_dev, full_stack_dev, mobile_dev, proj_lead","sys_admin, devops_dataops",Yes,13_17 years,13_17 years,24_25 years,Senior,Senior,high_school,none,somewhat_important,male,40_44 years,15M_18M,"JavaScript, TypeScript, PHP, HTML/CSS, SQL, Dart","Angular.js, JQuery, Vue.js, Laravel",Flutter,"MySQL, MariaDB, PostgreSQL, Redis","GNU/Linux, Microsoft Windows, MacOS, Docker, Android, Google Cloud Platform, iOS",PHP,Python,Laravel,ASP.NET Core,"GitLab, GitHub, Google Suite (Docs, Meet, etc)",Codeium,no,no,,,,
43,remote,Empleador local (Paraguay),mobile_dev,,Yes,3_5 years,1_2 years,14_15 years,Junior,Junior,high_school,computer_engineering,quite_important,male,20_24 years,3.5M_5M,"TypeScript, Dart",,"Node.js, Flutter",,"MacOS, Docker, Android, iOS",Dart,JavaScript,Django,React.js,"Google Suite (Docs, Meet, etc), Facebook Workplace, Slack, Discord, Confluence, GitHub","Github Copilot, ChatGPT","Puede ser, pero dentro de muchos años (más de 10)",no,,,,
44,remote,foreign_employer,backend_dev,devops_dataops,Yes,3_5 years,3_5 years,12_13 years,Mid-senior,Mid-senior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,quite_important,male,30_34 years,24M_27M,"Java, HTML/CSS",Spring,,"MySQL, PostgreSQL, Redis","Microsoft Windows, Docker, AWS, Google Cloud Platform, Kubernetes",Java,Genexus,Spring,Angular,"GitHub, GitLab, Slack, Jira, Confluence",ChatGPT,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
45,onsite,Empleador local (Paraguay),full_stack_dev,,Yes,3_5 years,3_5 years,22_23 years,Senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",systems_analysis,somewhat_important,male,25_29 years,12M_15M,"JavaScript, PHP, Java, HTML/CSS, SQL","JQuery, Vue.js, Spring, Laravel, CakePHP",Node.js,MySQL,MacOS,JavaScript,,Laravel,Angular,GitHub,ChatGPT,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
46,onsite,Empleador local (Paraguay),"full_stack_dev, proj_lead",sys_admin,Yes,13_17 years,10_12 years,14_15 years,Principal,Senior,high_school,systems_analysis,somewhat_important,male,30_34 years,12M_15M,"JavaScript, PHP, Java, SQL, Dart","React.js, JQuery, Spring","Node.js, Flutter","MySQL, MariaDB, PostgreSQL, Microsoft SQL Server","GNU/Linux, Microsoft Windows, Docker, AWS, Android, WordPress",Java,PHP,Spring,Laravel,"GitHub, Microsoft Team, Jira","Github Copilot, ChatGPT",no,no,,,,
47,Hibrído,Empleador local (Paraguay),"backend_dev, frontend_dev, full_stack_dev, db_admin","sys_admin, devops_dataops",Yes,10_12 years,10_12 years,10_11 years,Senior,Senior,high_school,other,very_important,female,25_29 years,5M_7M,"JavaScript, PHP, HTML/CSS, SQL, LUA","JQuery, Express",Node.js,"MySQL, MariaDB, PostgreSQL, SQLite",Microsoft Windows,JavaScript,TypeScript,Express,,"Notion, Google Suite (Docs, Meet, etc), GitHub, GitLab, Trello, Discord",,no,no,,,,
48,Hibrído,Empleador local (Paraguay),"mobile_dev, desktop_apps, db_admin",,Yes,18_25 years,18_25 years,24_25 years,Principal,Principal,"Título de Grado (licenciatura, ingeniería, etc.)","programming, systems_analysis",somewhat_important,male,40_44 years,7M_9M,"JavaScript, PHP, SQL, Fox Pro",,,"MySQL, MariaDB, SQLite","Microsoft Windows, Android",Fox Pro,Assembly,,,"GitLab, GitHub",ChatGPT,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
49,onsite,Empleador local (Paraguay),full_stack_dev,,Yes,3_5 years,3_5 years,<10 years,Mid-senior,Senior,"Título de Grado (licenciatura, ingeniería, etc.)",computer_engineering,quite_important,female,25_29 years,5M_7M,"C#, SQL, Oracle Forms","ASP.NET, ASP.NET Core",".NET, NET Core","MySQL, Oracle","Microsoft Windows, Azure",C#,Java,ASP.NET Core,Express,"Microsoft Azure, Microsoft Team",,no,no,,,,
50,remote,Empleador local (Paraguay),full_stack_dev,educator,Yes,1_2 years,1_2 years,<10 years,Junior,Junior,high_school,other,somewhat_important,female,20_24 years,2.55M_3.5M,"JavaScript, TypeScript, Python, HTML/CSS, SQL, Bash/Shell/PowerShell","React.js, Django",Node.js,"PostgreSQL, MongoDB","GNU/Linux, Microsoft Windows, Docker, AWS",JavaScript,PHP,React.js,JQuery,"Confluence, GitHub, Slack, Jira","Github Copilot, ChatGPT",no,no,,,,
51,remote,foreign_employer,backend_dev,,Yes,6_9 years,6_9 years,10_11 years,Senior,Senior,high_school,"programming, systems_analysis",somewhat_important,male,25_29 years,33M_40M,"JavaScript, Java, SQL, Bash/Shell/PowerShell","Vue.js, Spring",,"PostgreSQL, Microsoft SQL Server, Oracle","GNU/Linux, Microsoft Windows, Docker, Azure, Kubernetes",Java,PHP,Spring,Django,"Jira, GitHub, Microsoft Azure, Facebook Workplace, Confluence, Microsoft Team",AiDE,"Puede ser, pero dentro de muchos años (más de 10)",no,,,,
